Path Name,Count,Total Path Count,Mapped >1,count if mapped >1,total path count >1 maps,mapped >=2,count if mapped >=2,total path count >= 2 maps,mapped >=3,count if mapped >=3,total path count >= 3 maps
I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB-TZ1-2_US-50-EB-TZ3-4---I-66-EB---I-66-WB---US-50-WB_TZ4_I-66-WB-TZ3-2-1,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-WB---US-29-SB-TZ4_I-66-WB-TZ3-2-1,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB---I-66-WB---US-29-SB-TZ4_I-66-WB-TZ3-2-1---US-50-WB_TZ4-3_I-66-WB-TZ2-1---US-50-WB_TZ4_I-66-WB-TZ3-2-1,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB-TZ1-2_US-50-EB-TZ3-4---I-66-EB---I-66-WB-TZ4-3_US-29-SB-TZ2-1---I-66-WB-TZ4-3_US-50-WB-TZ2-1,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1-2-3_US-29-NB-TZ4---I-66-EB-TZ1-2_US-29-NB-TZ3-4---I-66-EB-TZ1_US-29-NB-TZ2-3-4,1,,1,1,,1,1,,0,0,
I-66-EB-TZ1_US-50-EB-TZ2-3-4,1,,0,0,,0,0,,0,0,
I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB-TZ1-2_US-50-EB-TZ3-4---I-66-EB---I-66-WB-TZ4-3_US-50-WB-TZ2-1---I-66-WB-TZ4_US-50-WB-TZ3-2-1---US-50-WB,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1-2_US-50-EB-TZ3-4---I-66-EB-TZ1_US-50-EB-TZ2-3-4,1,,1,1,,0,0,,0,0,
I-66-EB-TZ1-2-3_US-50-EB-TZ4---I-66-EB-TZ1-2_US-50-EB-TZ3-4---I-66-EB---US-50-EB-TZ1_I-66-EB-TZ2-3-4---US-50-WB,1,,1,1,,1,1,,1,1,
I-66-EB-TZ1_US-29-NB-TZ2-3-4---US-29-NB,1,,1,1,,0,0,,0,0,
